image_filename,image_width,image_height,class,xmin,ymin,bbox_width,bbox_height
000000011172.jpg,612,612,2,58.31,238.37,96.72,-55.54
000000001153.jpg,500,375,2,0.8,0,54.61,160.87
000000001153.jpg,500,375,2,168.13,0,-124.33,78.98
000000011360.jpg,640,480,2,382.62,316.48,-324.7,-243.5
000000012326.jpg,640,427,2,0.32,308.45,23.37,-300.49
000000001153.jpg,500,375,2,42.45,49.4,51.26,19.37
000000001153.jpg,500,375,2,282.9,41.12,-259.54,2.74
000000012326.jpg,640,427,2,353.51,259.41,-312.16,-248.97
000000003093.jpg,640,480,2,287.57,20.54,48.64,295.14
000000012326.jpg,640,427,2,303.22,254.34,-250.45,-234.18
000000012326.jpg,640,427,2,400.27,250.67,-354.94,-238.07
000000012326.jpg,640,427,2,444.01,247.23,-404.69,-232.84
000000011360.jpg,640,480,2,407.98,211.03,-267.29,-140.92
000000003093.jpg,640,480,2,373.21,23.8,-170.42,162.81
000000001153.jpg,500,375,2,152.65,198.38,181.76,-59.85
000000001153.jpg,500,375,2,2.65,97.06,370.58,48.53
000000001153.jpg,500,375,2,85.59,85.59,237.35,120
000000001153.jpg,500,375,2,4.41,59.01,393.53,75.99
000000011172.jpg,612,612,2,310.88,352.25,-286.77,-329.7
000000012326.jpg,640,427,2,434.02,103.77,-360.4,-31.53
000000012326.jpg,640,427,2,139.19,219.88,96.95,-12.87
000000011360.jpg,640,480,2,145.96,190.19,2.92,-60.49
000000011360.jpg,640,480,2,153.4,295.6,-62.65,-225.83
000000011360.jpg,640,480,2,424.03,246.21,-264.46,-175.43
000000012326.jpg,640,427,2,448.34,224.2,-426.54,-208.47
000000012326.jpg,640,427,2,401.58,243.63,-358.61,-230.19
000000012326.jpg,640,427,2,419.18,248.58,-408.25,-240.88
000000011172.jpg,612,612,2,555.89,495.06,-501.36,-379.94
000000012326.jpg,640,427,2,572.73,220.45,-531.66,-208.28
000000012326.jpg,640,427,2,571.66,227.86,-519.97,-214.5
000000011172.jpg,612,612,2,274.62,306.46,-236.97,-268.81
000000001153.jpg,500,375,2,97.4,0,-13.63,110.06
000000001153.jpg,500,375,2,182.71,45.81,-83.8,31.8
000000011172.jpg,612,612,2,158.63,341.6,29.92,-223.54
000000011172.jpg,612,612,2,348.56,22.52,-287.87,25.42
000000011172.jpg,612,612,2,0,363.79,107.81,-116.19
000000011172.jpg,612,612,2,13.36,375.38,585.28,-138.76
000000011172.jpg,612,612,2,127.59,275.8,-86.88,-228.2
000000011360.jpg,640,480,2,443.96,273.12,-420.23,-256.47
000000011360.jpg,640,480,2,500.68,246,-467.65,-220.73
000000011172.jpg,612,612,2,287.36,374.73,-265.9,-357.05
000000011172.jpg,612,612,2,185.3,396.01,-155.53,-376.78
000000003093.jpg,640,480,2,0,1.88,640,469.37
000000011360.jpg,640,480,2,543.58,320.42,-447.16,-160.84
000000019358.jpg,640,426,2,1.05,16.18,104.69,193.5
000000004749.jpg,640,429,2,34.63,38.09,536.73,335.12
000000019358.jpg,640,426,2,0,0.96,447.06,424.08
000000019358.jpg,640,426,2,284.32,1.91,71.36,269.01
000000004749.jpg,640,429,2,205.39,49.85,88.42,146.91
000000019358.jpg,640,426,2,380.04,109.72,-120.08,206.56
000000019358.jpg,640,426,2,49.67,222.5,63.04,-147.99
000000019358.jpg,640,426,2,0,139.77,50.74,-57.45
000000019358.jpg,640,426,2,146.47,1.62,345.58,415.77
000000019358.jpg,640,426,2,170.45,155.89,-58.12,-70.47
000000019358.jpg,640,426,2,158.23,219.09,-80.78,-149.39
000000019358.jpg,640,426,2,409.4,19.92,-318.66,50.89
000000019358.jpg,640,426,2,235.68,320.88,-130.56,-279.94
000000019358.jpg,640,426,2,414.34,16,-328.74,58.24
000000019358.jpg,640,426,2,331.55,0,-258.34,63.86
000000019358.jpg,640,426,2,168.85,150.22,-56.28,-74.07
000000019358.jpg,640,426,2,169.96,218.46,-116.99,-156.65
000000019358.jpg,640,426,2,480.68,81.45,-442.79,-42.58
000000004749.jpg,640,429,2,3.18,33.9,631.31,355.9
000000017179.jpg,640,425,2,121.56,0,252.26,424.09
000000017179.jpg,640,425,2,142.13,281.34,-79.5,-181.23
000000017179.jpg,640,425,2,550.85,44.83,-506.68,-8.39
000000016521.jpg,414,640,2,301.29,136.33,-282.41,-63.42
000000014592.jpg,427,640,2,114.24,243.61,61.93,148.65
000000003817.jpg,640,425,2,454.39,143.43,-446.52,-135.99
000000003817.jpg,640,425,2,251.96,254.9,-199.67,-114.18
000000003817.jpg,640,425,2,243.12,136.9,-158.14,-69.44
000000003817.jpg,640,425,2,340.58,143.03,-319.31,-87.93
000000003817.jpg,640,425,2,442.83,157.97,-436.62,-149.29
000000003817.jpg,640,425,2,381.31,160.64,-376.64,-149.29
000000020906.jpg,426,640,2,1.44,207.2,411.32,215.63
000000008711.jpg,640,480,2,64.43,306.14,308.19,-138.62
000000016521.jpg,414,640,2,149.19,46.02,26.65,330.79
000000016521.jpg,414,640,2,46.41,160.35,150.88,285.94
000000025521.jpg,640,480,2,285.2,0,-150.67,65.65
000000003703.jpg,640,427,2,9.6,134.2,115.79,-17.88
000000008711.jpg,640,480,2,307.42,55.01,-154.26,140.23
000000003703.jpg,640,427,2,525.61,2.82,-466.25,66.12
000000025521.jpg,640,480,2,470.29,1.08,-369.97,58.24
000000008711.jpg,640,480,2,162.64,0,-55.73,153.71
000000003703.jpg,640,427,2,318.04,123.65,-220.78,-40.19
000000022090.jpg,640,480,2,132.08,0.1,375.84,380.04
000000016521.jpg,414,640,2,237.41,411.54,-197.97,-371.47
000000000715.jpg,640,480,2,238.81,243.61,-176.6,-164.38
000000003817.jpg,640,425,2,204.69,194.69,-11.35,-105.99
000000014592.jpg,427,640,2,90.45,267.52,61.25,-200.47
000000000715.jpg,640,480,2,461.66,324.67,-405.57,-242.69
000000025316.jpg,640,480,2,76.58,0,469.22,471.04
000000008711.jpg,640,480,2,103.55,136.99,103.55,32.36
000000000715.jpg,640,480,2,227.25,244.91,55.81,-55.93
000000025521.jpg,640,480,2,306.07,109.55,-206.68,-37.26
000000016161.jpg,500,375,2,40.59,7.06,402.35,337.06
000000016161.jpg,500,375,2,0,151.98,442.62,71.04
000000025521.jpg,640,480,2,413.36,223.62,-299.28,-112.93
000000016161.jpg,500,375,2,148.24,0,203.52,210.88
000000003703.jpg,640,427,2,185.91,200.41,-72.54,-55.78
000000003703.jpg,640,427,2,186.33,217.41,-106.05,-37.85
000000003703.jpg,640,427,2,156.66,231.26,-88.55,-105.22
000000025316.jpg,640,480,2,487.28,83.76,-334.56,145.56
000000025316.jpg,640,480,2,0,81.32,135.53,57.6
000000025316.jpg,640,480,2,0,169.85,79.81,26.87
000000016161.jpg,500,375,2,245.29,49.41,-27.34,152.65
000000009077.jpg,640,427,2,519.96,196.38,-418.17,-111.05
000000003703.jpg,640,427,2,149.4,143.16,-88.31,-77.72
000000009077.jpg,640,427,2,330.06,233.26,-320.61,-223
000000022090.jpg,640,480,2,1.13,0,502.59,460.8
000000009077.jpg,640,427,2,314.98,235.59,-304.3,-224.92
000000003703.jpg,640,427,2,188.07,0,71.97,136.26
000000008711.jpg,640,480,2,252.4,188.58,135.2,102.84
000000003817.jpg,640,425,2,443.83,165.35,-439.1,-158.65
000000003703.jpg,640,427,2,533.5,50.24,-458.15,102.47
000000000715.jpg,640,480,2,354.38,121.03,-313.54,-78.77
000000000715.jpg,640,480,2,326.14,112.79,-285.37,-75.85
000000000715.jpg,640,480,2,470.35,114.89,-426.42,-71.69
000000000715.jpg,640,480,2,511.91,110.3,-468.14,-73.94
000000000715.jpg,640,480,2,282.12,88.59,-254.19,-55.26
000000000715.jpg,640,480,2,192.64,77.32,-168.76,-64.16
000000000715.jpg,640,480,2,435.09,106.55,-393.89,-73.09
000000000715.jpg,640,480,2,397.82,109.4,-356.44,-79.53
000000025521.jpg,640,480,2,111.68,159.07,-18.81,-120.3
000000009077.jpg,640,427,2,297.28,104.05,-265.26,-69.96
000000016521.jpg,414,640,2,176.6,78.71,-143.73,-33.41
000000020906.jpg,426,640,2,188.31,260.42,-78.35,-146.87
000000010432.jpg,640,480,2,187.69,164.85,-72.28,-54.82
000000010432.jpg,640,480,2,223.1,72.01,-183.91,13.4
000000009077.jpg,640,427,2,378.45,76.38,-345.09,-31.52
000000020906.jpg,426,640,2,94.92,211.18,18.7,-143.59
000000020906.jpg,426,640,2,327,35.75,-254.26,47.9
000000009077.jpg,640,427,2,449.36,63.91,-410.74,-22.76
000000009077.jpg,640,427,2,517.18,52.95,-462.62,16.49
000000010432.jpg,640,480,2,266.19,146.93,-187.2,-36.63
000000010432.jpg,640,480,2,391.86,361.63,-293.48,-243.26
000000009077.jpg,640,427,2,563.32,47.35,-512.72,37.38
000000009077.jpg,640,427,2,441.45,298.93,-397.22,-258.66
000000020906.jpg,426,640,2,164.12,14.25,4.78,97.77
000000009077.jpg,640,427,2,483.34,57.42,-426.65,-3.1
000000009077.jpg,640,427,2,466.95,323.03,-405.11,-279.45
000000009077.jpg,640,427,2,415.47,71.93,-377.51,-19.6
000000010432.jpg,640,480,2,313.44,269.53,-235.24,-141.22
000000009077.jpg,640,427,2,470.7,104.57,-450.69,-57.26
000000010432.jpg,640,480,2,357.74,232.66,-245.61,-97.98
000000009077.jpg,640,427,2,534.61,306.23,-514.49,-262.98
000000009077.jpg,640,427,2,369.61,204.99,-334.1,-178.72
000000010432.jpg,640,480,2,449.83,217.65,-374.18,-113.65
000000010432.jpg,640,480,2,206.17,316.88,-157.84,-186.94
000000010432.jpg,640,480,2,117.57,168.27,2.16,-43.15
000000010432.jpg,640,480,2,268.19,287.41,-215.16,-171.11
000000010432.jpg,640,480,2,421.89,225.89,-353.93,-111.42
000000009077.jpg,640,427,2,334.54,335.58,-318.19,-317.4
000000009077.jpg,640,427,2,311.02,336.01,-260.1,-293.57
000000009077.jpg,640,427,2,345.52,300.64,-289.48,-257.69
000000009077.jpg,640,427,2,327.13,291.9,-291.38,-254.44
000000000715.jpg,640,480,2,33.65,141.22,-17.25,-122.19
000000009077.jpg,640,427,2,368.4,227.26,-307.04,-183.39
000000000715.jpg,640,480,2,24.03,142.99,-12.72,-127.61
000000000715.jpg,640,480,2,49.96,146.83,-30.96,-128.4
000000000715.jpg,640,480,2,7.48,140.32,9.47,-125.48
000000000715.jpg,640,480,2,4.84,137.94,7.98,-124.29
